Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
140000,2.0731013,22.4390243902439,-2.1125534,-3.5169675045235214,-3.5169675045235214,1.0
141000,2.0753849,22.022222222222222,-2.18681,-3.82319177551703,-3.82319177551703,1.0
142000,2.0848334,17.64,-2.3016226,-3.8010527331095476,-3.8010527331095476,1.0
143000,2.091829,22.657894736842106,-2.225719,-4.359107929307061,-4.359107929307061,1.0
144000,2.0845902,29.68421052631579,-2.0905128,-4.1694829447401895,-4.1694829447401895,1.0
145000,2.088824,19.630434782608695,-2.4660895,-4.077052984548652,-4.077052984548652,1.0
146000,2.0800502,21.88372093023256,-2.2382221,-4.010467084971341,-4.010467084971341,1.0
147000,2.0802534,20.3953488372093,-2.3905418,-4.001019078222188,-4.001019078222188,1.0
148000,2.0727203,27.65,-2.09409,-3.1294724391056943,-3.1294724391056943,1.0
149000,2.0827696,22.148936170212767,-2.2755516,-3.5746558374828763,-3.5746558374828763,1.0
150000,2.0803626,23.555555555555557,-2.2658613,-4.2468828904001334,-4.2468828904001334,1.0
151000,2.0745873,23.651162790697676,-2.3323047,-4.043709699497667,-4.043709699497667,1.0
152000,2.0720797,23.95,-2.2299218,-4.05740332442361,-4.05740332442361,1.0
153000,2.073311,19.333333333333332,-2.398071,-3.7460356026279684,-3.7460356026279684,1.0
154000,2.080151,25.054054054054053,-2.345362,-4.011098192632199,-4.011098192632199,1.0
155000,2.073365,20.82608695652174,-2.5984094,-3.8858360907305842,-3.8858360907305842,1.0
156000,2.0937672,20.3125,-2.5189269,-3.830588868323793,-3.830588868323793,1.0
157000,2.096953,23.634146341463413,-2.4572058,-4.295703797113328,-4.295703797113328,1.0
158000,2.0963287,19.829787234042552,-2.5387285,-3.8618336475413777,-3.8618336475413777,1.0
159000,2.0816226,21.02127659574468,-2.614965,-4.221935793109562,-4.221935793109562,1.0
160000,2.0855463,20.89189189189189,-2.4765909,-3.7606520749427177,-3.7606520749427177,1.0
161000,2.0883238,29.41025641025641,-2.4633307,-4.309393706545234,-4.309393706545234,1.0
162000,2.086107,21.0,-2.6168334,-4.272021359867519,-4.272021359867519,1.0
163000,2.0892437,22.58974358974359,-2.4202545,-3.8759228739982996,-3.8759228739982996,1.0
164000,2.089403,24.238095238095237,-2.4114618,-3.8586784927617934,-3.8586784927617934,1.0
165000,2.0873122,18.976744186046513,-2.5527449,-3.8442736728624864,-3.8442736728624864,1.0
166000,2.0929973,21.51063829787234,-2.4759493,-3.5292506868189033,-3.5292506868189033,1.0
167000,2.0812862,23.864864864864863,-2.5676396,-3.9348255082180628,-3.9348255082180628,1.0
